1. Poloniex
1,Anoncoin,ANC/BTC,$ 423,$ 0.168917,13.53 %
2,Litecoin,LTC/BTC,$ 393,$ 3.16,12.59 %
3,TEKcoin,TEK/BTC,$ 343,$ 0.001233,10.99 %
4,FedoraCoin,TIPS/LTC,$ 311,$ 0.000015,9.97 %
5,Dogecoin,DOGE/BTC,$ 288,$ 0.000223,9.21 %
6,Auroracoin,AUR/BTC,$ 116,$ 0.204123,3.72 %
7,Verge,XVG/BTC,$ 102,$ 0.000135,3.28 %
8,Genstake,G3N/BTC,$ 101,$ 0.002273,3.24 %
9,FedoraCoin,TIPS/BTC,$ 94,$ 0.000017,3.02 %
10,Zeitcoin,ZEIT/BTC,$ 87,$ 0.000008,2.79 %
View More
Total,"$ 3,122",,
53. Metaexchange
1,BitShares,BTS/BTC,"$ 2,476",$ 0.006515,99.94 %
2,Ethereum,ETH/BTC,$ 1,$ 11.53,0.06 %
3,Nxt,NXT/BTC,$ 0,$ 0.008034,0.00 %
4,MUSE,MUSE/BTC,$ 0,$ 0.001641,0.00 %
Total,"$ 2,478",,
54. Nxt Asset Exchange
1,SuperNET,UNITY/NXT,$ 766,$ 1.66,31.79 %
2,Cryptofund,FUND/NXT,$ 379,$ 0.078048,15.73 %
3,CORE,CORE/NXT,$ 280,$ 0.112090,11.63 %
4,InstantDEX,DEX/NXT,$ 273,$ 0.390238,11.34 %
5,Coinomat,CNMT/NXT,$ 272,$ 0.035279,11.29 %
6,MMBTCD,MMBTCD/NXT,$ 131,$ 0.062103,5.43 %
7,Privatebet,Privatebet/NXT,$ 87,$ 0.108768,3.61 %
8,Nxttycoin,NXTTY/NXT,$ 58,$ 0.000083,2.41 %
9,The Viral Exchange,TVE/NXT,$ 53,$ 0.116241,2.21 %
10,Pangea Poker,PANGEA/NXT,$ 33,$ 0.165975,1.38 %
View More
Total,"$ 2,409",,
55. BloomBit
1,CrevaCoin,CREVA/BTC,"$ 1,417",$ 0.090067,71.26 %
2,Xaurum,XAU/BTC,$ 501,$ 213.80,25.21 %
3,Yocoin,YOC/BTC,$ 43,$ 0.018518,2.16 %
4,Safe Exchange Coin,SEC/BTC,$ 20,$ 0.002100,0.98 %
